foodName,display_name,food_category,portion_unit_name,portion_gram_weight,source_count,Energy,Energy,Energy,Energy,Carbohydrate,"Sugars, Total",Fiber,Total Sugars,Fiber (AOAC 2011.25),Total fat,Cholesterol,"Fatty acids, total saturated",DHA,EPA,ALA,Protein,"Vitamin A, RAE",Vitamin E,Vitamin D (D2 + D3),Vitamin E,Vitamin C,Thiamin,Riboflavin,Niacin,Pantothenic acid,Vitamin B-6,"Folate, total",Vitamin B-12,Choline,Vitamin K2 MK-4,Vitamin K1,Vitamin E,Vitamin A,Calcium,Iron,Magnesium,Phosphorus,Potassium,Sodium,Zinc,Copper,Iodine,Manganese,Molybdenum,Selenium
aguardiente,Aguardiente,Other,,,1,95.0,95.0,95.0,95.0,13.73,,1.1,1.16,,3.29,0.0,0.461,0.0,0.0,,2.54,4.0,0.86,0.0,0.86,1.9,0.112,0.065,0.87,,0.043,31.0,0.0,5.4,,3.4,0.86,,8.0,0.77,11.0,30.0,89.0,267.0,0.26,0.086,,,,10.3
aji_amarillo,Aji Amarillo,Other,,,1,299.0,299.0,299.0,299.0,46.13,,9.7,2.93,,9.2,0.0,3.311,0.0,0.0,,7.85,0.0,0.55,0.0,0.55,0.0,0.36,0.18,4.61,,0.28,38.0,0.0,7.8,,3.3,0.55,,36.0,2.2,56.0,158.0,196.0,298.0,1.54,0.229,,,,26.6
aji_panca,Aji Panca,Other,,,1,180.0,180.0,180.0,180.0,40.0,,20.0,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,1860.0,,,,,,
ajvar,Ajvar,Other,,,1,67.0,67.0,67.0,67.0,13.33,,0.0,6.67,,3.33,0.0,0.0,,,,0.0,,,,,40.0,,,,,,,,,,,,,,,,,,467.0,,,,,,
ajwain,Ajwain,Other,,,1,178.0,178.0,178.0,178.0,28.24,,0.0,28.1,,4.94,112.0,2.241,0.0,0.0,,5.23,65.0,0.31,1.3,0.31,0.4,0.026,0.203,0.061,,0.027,15.0,0.23,74.3,,0.2,0.31,,95.0,0.49,11.0,110.0,129.0,163.0,0.56,0.01,,,,8.6
alcaparrado,Alcaparrado,Other,,,1,133.0,133.0,133.0,133.0,6.67,,,,,13.33,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,2200.0,,,,,,
aleppo_pepper,Aleppo Pepper,Spices & Herbs,,,1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
alfalfa_sprout,Alfalfa Sprout,Other,,,3,23.0,23.0,23.0,23.0,2.1,,1.8999999999999997,0.2,,0.69,0.0,0.069,0.0,0.0,,3.99,8.0,0.02,0.0,0.02,8.2,0.076,0.126,0.481,0.563,0.034,36.0,0.0,14.4,,30.5,0.02,,32.0,0.96,27.0,70.0,79.0,6.0,0.92,0.157,,0.188,,0.6
alfredo_sauce,Alfredo Sauce,Other,,,1,150.0,150.0,150.0,150.0,1.77,,0.0,0.9,,15.0,44.0,8.523,0.0,0.004,,2.12,137.0,0.3,0.5,0.3,0.2,0.011,0.074,0.022,,0.013,2.0,0.07,6.4,,1.3,0.3,,66.0,0.02,4.0,50.0,39.0,552.0,0.29,0.008,,,,2.7
alligator,Alligator,Other,,,1,226.0,226.0,226.0,226.0,13.39,,0.5,0.2,,12.96,43.0,1.835,0.062,0.058,,13.25,35.0,3.16,0.0,3.16,3.0,0.165,0.102,2.544,,0.259,33.0,12.95,56.3,,12.0,3.16,,55.0,4.92,28.0,164.0,290.0,518.0,1.43,0.358,,,,37.2
allspice,Allspice,Spices & Herbs,,,1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,2000.0,,,,,,
allulose,Allulose,Other,,,1,0.0,0.0,0.0,0.0,100.0,,0.0,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
almond,Almond,Nuts & Seeds,,,5,578.725072,578.725072,578.725072,578.725072,20.489849999999997,,11.8532,4.35,,49.99,0.0,3.802,0.0,0.0,0.003,22.16875,0.0,25.63,0.0,25.63,0.0,0.1864999999999999,1.0599,3.694,0.471,0.129576,42.766,0.0,52.1,,0.0,25.63,,261.65999999999997,3.613,266.21999999999997,487.22,719.76,0.97888,3.0550000000000006,1.01986,,2.1058,36.13,3.42838
almond_butter,Almond Butter,Other,,,2,648.5,648.5,648.5,648.5,19.93,,9.5,3.76,,54.485,0.0,4.4575,0.0,0.0,,21.275,0.0,16.57,0.0,16.57,0.0,0.094,0.933,3.886,,0.083,42.0,0.0,51.8,,0.0,16.57,,256.5,3.73,266.0,504.0,589.5,116.0,3.16,0.969,,,,0.8
almond_milk,Almond Milk,Other,,,1,25.0,25.0,25.0,25.0,3.33,,0.0,2.92,,1.04,0.0,0.0,,,,0.42,,3.0,,3.0,,,0.177,,,,,1.25,,,,3.0,,188.0,0.15,7.0,17.0,12.0,67.0,0.5,0.017,,,,
almond_paste,Almond Paste,Other,,,5,457.1739961759082,457.1739961759082,457.1739961759082,457.1739961759082,48.956,,4.9,37.956,,26.26,0.0,2.5894000000000004,0.0,0.0,,9.452,0.0,13.54,0.0,13.54,0.1,0.082,0.414,1.422,0.113,0.036,73.0,0.0,28.5,,0.0,13.54,,148.4,1.922,130.0,258.0,258.6,8.4,1.4799999999999998,0.454,,0.856,,4.2
almond_tofu,Almond Tofu,Other,,,5,612.8,612.8,612.8,612.8,19.592,,8.86,5.096000000000001,,54.36800000000001,0.0,5.741,0.0,0.0,,18.72,0.0,20.785,0.0,20.785,0.0,0.094,0.933,3.886,,0.083,42.0,0.0,51.8,,0.0,20.785,,302.8,3.5119999999999996,261.5,504.0,706.0,399.8,3.16,0.969,,,,0.8
aloe_vera,Aloe Vera,Other,,,5,16.0,16.0,16.0,16.0,3.94,,0.1,3.772,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.3,0.5,0.0,0.0,,0.4165,0.0,1.25,0.0,,0.0,0.0,,15.25,0.2249999999999999,0.0,0.0,0.0,11.8,0.0,0.0,,,,0.0
alum,Alum,Other,,,1,257.0,257.0,257.0,257.0,49.16,,4.3,4.29,,3.57,0.0,0.714,0.0,0.0,,7.14,155.0,0.41,0.0,0.41,0.0,0.429,0.486,5.714,,0.571,57.0,1.62,14.7,,3.3,0.41,,143.0,6.43,65.0,286.0,164.0,557.0,1.17,0.193,,,,30.5
amaranth,Amaranth,Other,,,3,23.183556405353727,23.183556405353727,23.183556405353727,23.183556405353727,4.02,,,,,0.33,0.0,0.091,,,,2.46,146.0,,0.0,,43.3,0.027,0.158,0.658,0.064,0.192,85.0,0.0,,,1140.0,,,215.0,2.32,55.0,50.0,611.0,20.0,0.9,0.162,,0.885,,6.1000000000000005
amaretti_cookie,Amaretti Cookie,Other,,,3,409.6666666666667,409.6666666666667,409.6666666666667,409.6666666666667,73.81,,4.533333333333333,71.43,,14.763333333333334,0.0,0.0,,,,5.713333333333334,,,,,,,,,,,,,,,,,,100.0,,,,,28.666666666666668,,,,,,
amaretto,Amaretto,Other,,,1,211.0,211.0,211.0,211.0,17.89,,1.1,14.74,,14.74,0.0,13.68,,,,1.05,,,,,1.3,,,,,,,,,,,,,,0.76,,,,32.0,,,,,,
amaro,Amaro,Other,,,1,112.09369024856596,112.09369024856596,112.09369024856596,112.09369024856596,26.46,,4.1,0.4,,0.2,0.0,0.041,0.0,0.0,,1.5,4.0,2.38,0.0,2.38,4.5,0.095,0.025,0.6,0.303,0.283,22.0,0.0,17.3,,1.0,2.38,,43.0,0.55,33.0,84.0,591.0,11.0,0.23,0.172,,0.383,,0.7
amazake,Amazake,Other,,,1,187.0,187.0,187.0,187.0,6.93,,0.1,5.63,,0.07,0.0,0.006,0.0,0.0,,0.06,0.0,0.03,0.0,0.03,1.6,0.012,0.005,0.049,,0.007,2.0,0.0,1.3,,0.1,0.03,,3.0,0.09,2.0,5.0,20.0,5.0,0.04,0.022,,,,0.1
amberjack,Amberjack,Other,,,1,210.0,210.0,210.0,210.0,0.0,,0.0,0.0,,9.71,85.0,2.203,1.292,0.763,,28.89,12.0,3.33,1.7,3.33,0.0,0.078,0.363,19.903,,0.203,13.0,0.88,85.0,,12.1,3.33,,232.0,4.63,69.0,252.0,544.0,3668.0,2.44,0.339,,,,68.1
amchur,Amchur,Other,,,1,128.0,128.0,128.0,128.0,24.98,,5.8,1.85,,0.35,0.0,0.056,0.0,0.0,,6.36,0.0,0.04,0.0,0.04,0.2,0.122,0.04,0.676,,0.042,39.0,0.0,21.7,,3.1,0.04,,10.0,0.89,25.0,67.0,233.0,252.0,0.86,0.141,,,,3.5
american_cheese,American Cheese,Dairy & Eggs,,,5,357.6195028680688,357.6195028680688,357.6195028680688,357.6195028680688,6.755,3.76,0.0,4.72,,30.090000000000003,87.0,16.852,0.0015,0.0095,0.1643333333333333,17.145,262.0,0.82,6.5,0.82,0.0,0.028,0.336,0.132,,0.09,13.0,1.48,27.5,,3.2,0.82,,607.4,0.36,26.42,412.8,209.6,1580.0,2.38,0.0294,58.46666666666667,0.02175,,18.3
anaheim_chile,Anaheim Chile,Other,,,1,46.0,46.0,46.0,46.0,11.25,,0.0,10.0,,0.0,0.0,0.0,,,,0.83,,,,,30.0,,,0.167,,0.033,25.0,,,,,,,8.0,,10.0,,188.0,6.0,,,,,,
anardana_powder,Anardana Powder,Other,,,1,302.0,302.0,302.0,302.0,74.68,,16.5,43.9,,0.44,0.0,0.062,,,,12.91,862.0,12.25,0.0,12.25,116.7,0.913,0.761,9.133,3.76,0.457,120.0,0.0,,,48.8,12.25,,166.0,4.56,178.0,295.0,1927.0,134.0,1.71,1.241,,1.951,,5.3
ancho_chile,Ancho Chile,Other,,,1,282.0,282.0,282.0,282.0,47.06,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
anchovy,Anchovy,Fish & Seafood,,,2,188.5,188.5,188.5,188.5,0.0,,0.0,0.0,,9.855,83376.0,2.4364999999999997,1.292,0.763,,24.445,12.0,3.33,1.7,3.33,0.0,0.078,0.363,19.903,,0.203,13.0,0.88,85.0,,12.1,3.33,,182.5,4.715,69.0,252.0,544.0,5634.0,2.44,0.339,,,,68.1
andouille_sausage,Andouille Sausage,Other,,,2,230.0,230.0,230.0,230.0,1.295,,0.0,,,18.565,61.0,6.109999999999999,,,,15.275,,,,,1.4,,,,,,,,,,,,,22.5,1.13,,,263.0,632.5,,,,,,
angelica_root,Angelica Root,Other,,,1,74.33078393881453,74.33078393881453,74.33078393881453,74.33078393881453,17.23,,4.9,,,0.1,0.0,0.03,,,,2.6,0.0,,0.0,,44.0,0.16,0.22,0.4,0.377,0.258,13.0,0.0,,,,,,45.0,1.16,23.0,100.0,556.0,40.0,0.39,0.257,,0.261,,0.7
anise,Anise,Other,,,2,337.23709369024857,337.23709369024857,337.23709369024857,337.23709369024857,50.02,,14.6,,,15.9,0.0,0.586,0.0,0.0,,17.6,16.0,,0.0,,21.0,0.34,0.29,3.06,0.797,0.65,10.0,0.0,,,,,,646.0,36.96,170.0,440.0,1441.0,16.0,5.3,0.91,,2.3,,5.0
anisette,Anisette,Other,,,1,373.0,373.0,373.0,373.0,66.99,,1.4,28.44,,8.38,46.0,1.29,0.0,0.0,,7.63,20.0,1.4,0.3,1.4,0.4,0.378,0.277,3.01,,0.037,62.0,0.1,35.3,,6.5,1.4,,112.0,3.15,17.0,205.0,97.0,262.0,0.51,0.083,,,,12.8
annatto_seed,Annatto Seed,Other,,,4,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,9666.666666666666,,,,,,
aonori,Aonori,Other,,,1,112.0,112.0,112.0,112.0,27.23,,0.4,0.39,,0.14,0.0,0.029,0.0,0.0,,0.38,3.0,2.3,0.0,2.3,4.0,0.13,0.04,1.1,0.293,0.273,21.0,0.0,16.7,,1.0,2.3,,16.0,0.88,24.0,39.0,183.0,12.0,0.22,0.166,,0.37,,0.7
apple,Apple,Other,,,5,60.25,60.25,60.25,60.25,15.35,,1.7,12.8025,,0.05,0.0,0.0093333333333333,0.0,0.0,,0.1275,3.0,0.18,0.0,0.18,15.675,0.01,0.065,0.1055,,0.0916666666666666,0.0,0.3,3.4,,2.2,0.18,,6.0,0.0866666666666666,5.066666666666666,9.5,99.6,1.2,0.5133333333333333,0.0409999999999999,,0.034,,0.0
apple_brandy,Apple Brandy,Other,,,1,231.0,231.0,231.0,231.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.004,0.013,,0.001,0.0,0.0,0.0,,0.0,0.0,,0.0,0.04,0.0,4.0,2.0,1.0,0.04,0.021,,,,0.0
apple_cider,Apple Cider,Other,,,4,49.0,49.0,49.0,49.0,12.1,,0.15,10.085,,0.0325,0.0,0.0055,0.0,0.0,,0.025,0.0,0.01,0.0,0.01,1.3,0.021,0.017,0.073,,0.018,0.0,0.0,1.8,,0.0,0.01,,8.0,0.1899999999999999,5.0,7.0,100.25,5.75,0.02,0.012,,,,0.1
apple_cider_vinegar,Apple Cider Vinegar,Other,,,5,48.2,48.2,48.2,48.2,11.926,,0.0666666666666666,10.134,,0.026,0.0,0.0073333333333333,0.0,0.0,,0.02,0.0,0.01,0.0,0.01,1.7,0.021,0.017,0.073,,0.018,0.0,0.0,1.8,,0.0,0.01,,8.0,0.6533333333333333,5.0,7.0,98.4,6.4,0.02,0.012,,,,0.1
